iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",209,80349.93012978874,-19.65006987021126,-25.01008623636014,46.411483253588514,0.8022826347261381,-0.09965615680006758,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",190,78601.63843572134,-21.398361564278655,-23.81963383248108,45.26315789473684,0.7669424580186244,-0.12169371071320212,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",167,70983.2719721582,-29.016728027841808,-30.183825705481837,41.31736526946108,0.6531899486285886,-0.2001682653798658,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",148,69350.39953568457,-30.64960046431543,-30.64960046431543,39.189189189189186,0.6053078449711784,-0.24223017916867692,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",128,74116.44524114169,-25.883554758858317,-25.883554758858317,39.84375,0.6257523799418786,-0.2289476311351569,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",110,79228.93915851755,-20.77106084148246,-20.77106084148246,40.909090909090914,0.6475887779434741,-0.20660549174863663,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",96,78054.80642426117,-21.94519357573883,-22.619387433911175,38.54166666666667,0.5869352568453681,-0.25301043599956186,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",88,78245.86505838146,-21.754134941618542,-22.42997905764912,37.5,0.5619384883345179,-0.2736907697571986,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",83,85825.42250396853,-14.174577496031471,-14.915889599385036,42.168674698795186,0.688015158523588,-0.1791226377228888,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",73,86064.21098079943,-13.935789019200573,-15.503509386743763,41.0958904109589,0.6581943510727168,-0.2005411951294212,False
11,11,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",210,89794.25562081099,-10.205744379189008,-18.33678363187975,49.047619047619044,0.8962326172953095,-0.04625212845883415,False
12,12,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",198,88445.98504350627,-11.554014956493731,-18.897431329966853,48.484848484848484,0.876649188353061,-0.05699713075152422,False
13,13,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",170,84121.81992469894,-15.878180075301064,-19.996335705246093,46.470588235294116,0.809437343390631,-0.09668214763318421,False
14,14,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.0, 'sldist_atr_mult': 2.0}",151,85536.45755788103,-14.463542442118971,-17.620772006697262,46.35761589403973,0.8088117029845084,-0.09843491624174557,False
