fast,slow,rr,sl_buffer_pips,trial_number,value,_objective_key,_objective_value,avg_R,final_equity,max_drawdown_%,profit_factor,total_return_%,trades,win_rate_%
35,291,2.46398788362281,6.187255599871848,0,88.388066331352,total_return_%,88.388066331352,0.12488698934314568,188388.066331352,-16.184020329523495,1.1607317299872522,88.388066331352,567.0,32.98059964726631
33,172,2.3665621131715815,6.305300531798383,11,36.31637010104962,total_return_%,36.31637010104962,0.05084588401907364,136316.37010104963,-29.884858970898986,1.0491381037103618,36.31637010104962,801.0,31.7103620474407
36,211,2.9752271023478993,5.755074761560239,16,23.368002113085673,total_return_%,23.368002113085673,0.04567482640903067,123368.00211308566,-39.275070486078356,1.0326072976894665,23.368002113085673,691.0,26.772793053545584
32,119,2.3684660530243136,4.681448690526213,9,22.695957293410917,total_return_%,22.695957293410917,0.031197008220542773,122695.95729341092,-64.52303417433723,1.036206227933002,22.695957293410917,1070.0,31.21495327102804
32,205,1.8638900372842315,3.2666768318813983,4,19.15476168967738,total_return_%,19.15476168967738,0.03320817124360144,119154.76168967737,-34.948320119092045,1.0299838808029624,19.15476168967738,739.0,36.94181326116374
21,271,1.801911939364088,7.801090411318373,18,18.15755785937845,total_return_%,18.15755785937845,0.03171326434673132,118157.55785937844,-33.977108570339155,1.0317393239844284,18.15755785937845,739.0,37.34776725304466
38,299,1.9637926593266593,6.441202405454894,13,16.21460754403352,total_return_%,16.21460754403352,0.037746648984109496,116214.60754403351,-40.879897863814016,1.0352426798779888,16.21460754403352,542.0,35.608856088560884
33,176,2.497927246737232,6.649170444172519,12,13.722536515036898,total_return_%,13.722536515036898,0.028767788648358307,113722.53651503689,-35.28307160816265,1.0177903674363409,13.722536515036898,800.0,29.875
26,169,2.6171010581518597,7.434117320429518,14,3.9909632636558,total_return_%,3.9909632636558,0.01756934719404262,103990.96326365581,-54.121443092253976,1.0045944371230282,3.9909632636558,897.0,28.539576365663322
58,195,2.717668942646595,6.578082834703982,10,1.526828997936902,total_return_%,1.526828997936902,0.01606419984828132,101526.8289979369,-33.29179101480355,1.00255292504136,1.526828997936902,644.0,27.795031055900623
22,290,2.9312640661491187,8.17977480710638,8,-6.978936443319617,total_return_%,-6.978936443319617,0.004451453997043281,93021.06355668038,-32.241554478739474,0.9880726166757049,-6.978936443319617,710.0,25.915492957746476
45,128,1.5842892970704363,3.980437511290071,5,-10.5088741807031,total_return_%,-10.5088741807031,-0.003951129726757983,89491.1258192969,-31.39239851921235,0.9781387703878437,-10.5088741807031,932.0,39.48497854077253
52,238,2.2093033455055195,5.212392465612285,15,-17.15315077937528,total_return_%,-17.15315077937528,-0.021210977022406655,82846.84922062472,-44.741145581242215,0.958390049570271,-17.15315077937528,585.0,31.11111111111111
44,242,1.041168988591605,9.714143595538946,2,-25.27410250203158,total_return_%,-25.27410250203158,-0.04303490175342546,74725.89749796841,-40.59893296549292,0.9130735925373703,-25.27410250203158,604.0,47.51655629139073
38,257,1.3993475643167195,5.385227164929311,6,-32.414180775675426,total_return_%,-32.414180775675426,-0.057424252432573285,67585.81922432457,-42.499862708594364,0.8914379251093153,-32.414180775675426,609.0,40.06568144499179
49,220,2.7291978235761736,9.962161398931526,19,-32.420698923525926,total_return_%,-32.420698923525926,-0.049308339619942,67579.30107647408,-52.82681447335247,0.9279022257401368,-32.420698923525926,627.0,25.837320574162682
26,131,1.116167224336399,8.728673384861883,1,-39.67500384585287,total_return_%,-39.67500384585287,-0.0418022114429478,60324.99615414713,-52.165832897141726,0.9076122574824961,-39.67500384585287,1067.0,45.923149015932516
54,142,1.3636499344142012,2.2423428436076214,3,-49.10172898439872,total_return_%,-49.10172898439872,-0.075406445799472,50898.27101560128,-52.90553205483285,0.8667490264432904,-49.10172898439872,822.0,40.51094890510949
44,109,2.2150897038028767,2.1199791750292696,7,-74.48175009957856,total_return_%,-74.48175009957856,-0.11523193607870212,25518.24990042144,-74.48175009957856,0.8205993341711416,-74.48175009957856,1086.0,28.5451197053407
27,155,2.1966835162606055,1.1072446198024082,17,-75.62665758904373,total_return_%,-75.62665758904373,-0.1351074950642635,24373.34241095627,-80.87781059589517,0.7455431599396994,-75.62665758904373,934.0,29.336188436830835
