iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 5},74,90606.56029503037,-9.39343970496963,-14.038027334742843,48.64864864864865,0.666224202501676,-0.12854403872623832,-126.9383743914812,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 10},72,87306.92670479903,-12.693073295200975,-20.067033765336816,50.0,0.6793286619207488,-0.17714263543306574,-176.29268465556845,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 15},71,97905.64148344309,-2.0943585165569045,-12.55746476563393,50.70422535211267,0.94063682849425,-0.020567119544159185,-29.498007275449694,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 20},70,106800.98246302722,6.8009824630272275,-6.345089824879402,50.0,1.1960892744771459,0.10431245050555393,97.15689232895973,True
5,5,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 25},69,103486.9535069754,3.48695350697541,-12.471698784539143,49.275362318840585,1.0761063230460992,0.06789400317868148,50.535558072107655,True
6,6,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 5},71,90266.69556295626,-9.733304437043744,-14.360470242997048,47.88732394366197,0.6532202854684026,-0.13927432147580734,-137.0887948879403,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 10},70,85764.93539794887,-14.235064602051128,-20.553743765137376,48.57142857142857,0.639399465821356,-0.2077854275615665,-203.35806574358742,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 15},69,95904.43705810427,-4.095562941895725,-12.831168945055559,49.275362318840585,0.8837319380739597,-0.051324376077794616,-59.35598466515555,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 20},68,104010.43913004955,4.010439130049548,-6.345089824879391,50.0,1.115868015779955,0.06789205162523944,58.97704603013944,True
10,10,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 25},67,99760.66078707777,-0.23933921292222937,-12.471698784539143,47.76119402985074,0.9947568494793716,0.014499539479584427,-3.5722270585399793,False
11,11,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.0}]",{'hold_bars': 5},68,91961.48937551345,-8.03851062448655,-12.75255334477352,50.0,0.6977502491434975,-0.11818003456060955,-118.21339153656675,False
