iter,attempt,entry_params,exit_params,trades,final_equity,net_profit_abs,total_return_%,max_drawdown_%,max_drawdown_abs_%,avg_bars_held,long_trade_pct,short_trade_pct,commission_sum,win_rate_%,avg_profit_per_trade,avg_mfe,avg_mae,avg_mfe_R,avg_mae_R,avg_giveback,wins,losses,equity_years,cagr_%,sortino,mar,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",150,114558.81078051384,14558.810780513842,14.558810780513841,-16.996764673746046,16.996764673746046,75.02,52.666666666666664,47.333333333333336,2635.908770089439,28.000000000000004,97.05873853675958,0.006002466666666679,-0.004987866666666667,1.6008103506123355,-1.1211833877922706,0.7479779732960304,42,108,1.987565594341775,7.077665055168314,1.332331887617406,0.41641248737771774,True
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",137,102106.1785939886,2106.178593988603,2.1061785939886057,-17.82365542179466,17.82365542179466,77.62773722627738,52.55474452554745,47.44525547445255,2302.6790813960147,27.00729927007299,15.373566379479154,0.005959635036496364,-0.005131532846715332,1.5319144542887262,-1.118557280907053,0.7581080727124301,37,100,1.987565594341775,1.0541902734250819,0.40358208405076973,0.05914557078656404,True
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",125,100362.51465262563,362.5146526256285,0.3625146526256229,-16.10462304026462,16.10462304026462,80.408,50.4,49.6,2049.9162937289216,25.6,2.9001172210049173,0.005842320000000014,-0.005277920000000004,1.5228066849606678,-1.138954347319967,0.7686822613167985,32,93,1.987565594341775,0.1822273217445769,0.2631903424408131,0.01131521807675808,True
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",113,93510.39587761599,-6489.604122384015,-6.489604122384018,-16.828517477502647,16.828517477502647,84.59292035398231,51.32743362831859,48.67256637168141,1635.5574537305365,23.893805309734514,-57.43012497684978,0.0059478761061947,-0.0055261061946902746,1.4583791287237353,-1.142046890310943,0.7822378339536757,27,86,1.987565594341775,-3.319520403302001,-0.37874029547954025,-0.19725566484033613,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",104,100120.72184970054,120.72184970053786,0.12072184970053357,-14.455740096231306,14.455740096231306,88.13461538461539,49.03846153846153,50.96153846153846,1578.0884123641483,25.0,1.1607870163512557,0.006097596153846164,-0.005498942307692314,1.4526281595330395,-1.142543559052993,0.7720902800543675,26,78,1.987565594341775,0.060720343198461535,0.22682092752756308,0.004200431302323405,True
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",100,95538.78981853765,-4461.210181462346,-4.4612101814623495,-16.61628397335827,16.61628397335827,78.63,49.0,51.0,1391.0723525094404,24.0,-44.61210181462311,0.005809600000000015,-0.005471300000000008,1.3671238135535062,-1.1355650815329321,0.7809669942093401,24,76,1.987565594341775,-2.270006666427282,-0.22248867193976135,-0.1366133769780836,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",88,100837.67419686491,837.6741968649148,0.8376741968649126,-13.724418251398706,13.724418251398706,85.60227272727273,47.72727272727273,52.27272727272727,1234.3468791816695,23.863636363636363,9.519024964374797,0.0062020454545454635,-0.005704204545454561,1.4370206042116138,-1.1494926014608018,0.776671496586195,21,67,1.987565594341775,0.4205839430830416,0.2945658118944147,0.030644937758303768,True
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",82,98247.62558598342,-1752.37441401658,-1.7523744140165776,-19.32303896062685,19.32303896062685,86.95121951219512,48.78048780487805,51.21951219512195,1058.8685833104305,24.390243902439025,-21.370419683128763,0.006118048780487818,-0.0058423170731707495,1.3748692376107974,-1.1486964252177048,0.7724229274449075,20,62,1.987565594341775,-0.8855410229887783,-0.0020488438114440624,-0.04582824807180593,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",74,111278.93432548222,11278.934325482216,11.278934325482215,-14.231403849703117,14.231403849703117,96.04054054054055,52.702702702702695,47.2972972972973,948.4552846012972,28.37837837837838,152.4180314254352,0.006833243243243262,-0.005796486486486503,1.5132957355671366,-1.0800956116859886,0.7357545377861051,21,53,1.987565594341775,5.524101014322946,1.4249788552799982,0.3881627612189633,True
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",67,116323.93918696258,16323.939186962583,16.323939186962576,-14.853160089702167,14.853160089702167,102.25373134328358,52.23880597014925,47.76119402985074,822.6069878540019,29.850746268656714,243.64088338750153,0.007184776119403001,-0.00590059701492539,1.5585027923655055,-1.0480966840529884,0.7220031410719279,20,47,1.987565594341775,7.904601827907642,2.052905774748638,0.5321831704613469,True
