iter,attempt,entry_params,exit_params,trades,final_equity,net_profit_abs,total_return_%,max_drawdown_%,max_drawdown_abs_%,avg_bars_held,long_trade_pct,short_trade_pct,commission_sum,win_rate_%,avg_profit_per_trade,avg_mfe,avg_mae,avg_mfe_R,avg_mae_R,avg_giveback,wins,losses,equity_years,cagr_%,sortino,mar,davey_return_worse,davey_maxdd_worse,davey_both_worse,favourable
1,1,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 1}]",{'avg_hold_bars': 77.2741935483871},59,31467.326446135612,-68532.67355386438,-68.53267355386438,-78.47516617337055,78.47516617337055,81.22033898305085,50.847457627118644,49.152542372881356,2746.898746754509,50.847457627118644,-1161.5707382010917,0.00647152542372881,-0.007797796610169491,,,0.6514216759024437,30,29,1.987565594341775,-44.10677050959286,-0.9837673350615277,-0.562047494262712,True,True,True,True
2,2,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 2}]",{'avg_hold_bars': 77.2741935483871},53,53947.974343631664,-46052.025656368336,-46.052025656368336,-61.578685497448845,61.578685497448845,66.94339622641509,50.943396226415096,49.056603773584904,1574.8718475026426,45.28301886792453,-868.9061444597803,0.005115283018867903,-0.006152641509433983,,,0.7160569613470277,24,29,1.987565594341775,-26.692370503138164,-0.9057237270020932,-0.43346768914455,True,True,True,True
3,3,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 3}]",{'avg_hold_bars': 77.2741935483871},55,82786.53035221885,-17213.469647781152,-17.213469647781153,-39.21589269251403,39.21589269251403,83.12727272727273,50.90909090909091,49.09090909090909,2725.9402018410046,45.45454545454545,-312.97217541420343,0.006356181818181823,-0.006248363636363618,,,0.7314012023265073,25,30,1.987565594341775,-9.066645044760225,-0.11146873350603624,-0.23119823169270778,True,True,True,True
4,4,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 4}]",{'avg_hold_bars': 77.2741935483871},55,19229.811702799212,-80770.18829720079,-80.77018829720079,-86.21402142075098,86.21402142075098,88.52727272727273,52.72727272727272,47.27272727272727,2082.854863929633,58.18181818181818,-1468.5488781309232,0.0056992727272727325,-0.008502727272727259,,,0.6752570824899207,32,23,1.987565594341775,-56.37376297854774,-1.3755574978380545,-0.6538816082296685,True,True,True,True
5,5,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 5}]",{'avg_hold_bars': 77.2741935483871},56,64741.14680021824,-35258.85319978176,-35.25885319978176,-73.25392437465213,73.25392437465213,87.69642857142857,57.14285714285714,42.857142857142854,2274.604514614586,42.857142857142854,-629.6223785675322,0.006347500000000026,-0.007353035714285694,,,0.6772829967511547,24,32,1.987565594341775,-19.647469743099542,-0.27747609303325643,-0.2682104735114793,True,True,True,True
6,6,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 6}]",{'avg_hold_bars': 77.2741935483871},54,49259.17654605036,-50740.82345394964,-50.74082345394964,-62.04427764345469,62.04427764345469,69.29629629629629,55.55555555555556,44.44444444444444,1533.569473318416,51.85185185185185,-939.6448787768458,0.004951296296296298,-0.006150000000000013,,,0.696762571034738,28,26,1.987565594341775,-29.970397943893822,-0.9003660919064363,-0.48304854343091097,True,True,True,True
7,7,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 7}]",{'avg_hold_bars': 77.2741935483871},55,104463.57842573452,4463.578425734522,4.463578425734527,-40.57376183426753,40.57376183426753,81.21818181818182,50.90909090909091,49.09090909090909,2478.6499713447106,56.36363636363636,81.15597137699052,0.007894909090909103,-0.006827636363636345,,,0.6524436420483282,31,24,1.987565594341775,2.221387711401257,0.5277827622924852,0.05474936537743295,True,True,True,True
8,8,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 8}]",{'avg_hold_bars': 77.2741935483871},56,30070.473128787016,-69929.52687121299,-69.92952687121299,-76.14789224243496,76.14789224243496,77.41071428571429,53.57142857142857,46.42857142857143,1912.4347742023065,33.92857142857143,-1248.7415512716602,0.005286964285714286,-0.007768571428571426,,,0.7829640353343541,19,37,1.987565594341775,-45.36917892893252,-1.833187057763181,-0.595803476536014,True,True,True,True
9,9,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 9}]",{'avg_hold_bars': 77.2741935483871},54,102944.45967954307,2944.45967954307,2.9444596795430655,-60.92773009562933,60.92773009562933,81.4074074074074,53.70370370370371,46.2962962962963,2140.8578313514063,51.85185185185185,54.527031102649936,0.007085370370370373,-0.005770740740740741,,,0.6354349385106467,28,26,1.987565594341775,1.470759718714576,0.4866018778837212,0.024139414293067214,True,True,True,True
10,10,"[{'long_ratio': 0.52, 'side': 'both', 'target_entries': 62, 'seed': 10}]",{'avg_hold_bars': 77.2741935483871},54,55790.510988000424,-44209.489011999576,-44.20948901199958,-61.72197654101801,61.72197654101801,76.5925925925926,46.2962962962963,53.70370370370371,2628.5789399181904,53.70370370370371,-818.6942409629545,0.006493333333333339,-0.006462962962962966,,,0.6972193796029215,29,25,1.987565594341775,-25.44317628024544,-0.6214853560839849,-0.4122223186313047,True,True,True,True
