iter,attempt,entry_params,exit_params,trades,final_equity,net_profit_abs,total_return_%,max_drawdown_%,max_drawdown_abs_%,avg_bars_held,long_trade_pct,short_trade_pct,commission_sum,win_rate_%,avg_profit_per_trade,avg_mfe,avg_mae,avg_mfe_R,avg_mae_R,avg_giveback,wins,losses,equity_years,cagr_%,sortino,mar,favourable
1,1,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",216,100226.69755674132,226.69755674131738,0.22669755674131764,-21.49037649824781,21.49037649824781,70.18981481481481,54.629629629629626,45.370370370370374,3896.1166665127093,38.425925925925924,1.0495257256542387,0.005459444444444453,-0.005161203703703708,1.4246116264263995,-1.0944659839605377,0.6699715325341496,83,133,1.987565594341775,0.11399373480998065,0.26641430803588007,0.005304408455537063,True
2,2,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",193,89566.08096974065,-10433.919030259349,-10.433919030259354,-23.632263488693717,23.632263488693717,73.04145077720207,53.8860103626943,46.1139896373057,3541.952050021614,36.787564766839374,-54.06175663346828,0.0054872538860103685,-0.005259430051813478,1.421648453955216,-1.1202992482548446,0.6851386682780614,71,122,1.987565594341775,-5.393257607208424,-0.5774606319263537,-0.22821587148385925,False
3,3,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",170,90832.70485718355,-9167.295142816452,-9.167295142816457,-23.74857919034843,23.74857919034843,76.49411764705883,53.529411764705884,46.470588235294116,3099.3770393309865,34.11764705882353,-53.92526554597896,0.005643000000000008,-0.005514588235294122,1.456095463487421,-1.172263961440861,0.7002046823505854,58,112,1.987565594341775,-4.722467073258397,-0.5058384040105073,-0.19885261494622958,False
4,4,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",151,84790.48225476916,-15209.517745230842,-15.209517745230839,-26.55864924511093,26.55864924511093,81.39735099337749,54.3046357615894,45.6953642384106,2469.7036073899762,31.788079470198678,-100.72528308099871,0.005749933774834447,-0.005871721854304642,1.4476418758527427,-1.1444003371024112,0.7173376142547996,48,103,1.987565594341775,-7.965762424968759,-1.1035013736759967,-0.2999310074639862,False
5,5,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",133,95155.46404507216,-4844.535954927836,-4.8445359549278315,-17.025243421603175,17.025243421603175,85.06766917293233,51.8796992481203,48.1203007518797,2141.060680595415,32.33082706766917,-36.42508236787838,0.006061353383458658,-0.005502180451127819,1.5272325163228027,-1.1056972603165198,0.7081126056258847,43,90,1.987565594341775,-2.467488993203626,-0.21677627503038255,-0.14493120198637816,False
6,6,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",122,94880.25027136624,-5119.74972863376,-5.11974972863376,-14.816183147311602,14.816183147311602,89.71311475409836,54.09836065573771,45.90163934426229,1814.879404558632,31.967213114754102,-41.965161710112966,0.0062142622950819805,-0.00575270491803279,1.5081950524448298,-1.1059585820399906,0.7081992928703483,39,83,1.987565594341775,-2.609517906993586,-0.26901225245355365,-0.17612619127667056,False
7,7,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",104,98945.01894866726,-1054.9810513327393,-1.0549810513327373,-17.058414555039015,17.058414555039015,99.84615384615384,52.88461538461539,47.11538461538461,1680.510748145579,28.846153846153843,-10.144048570506515,0.006600769230769243,-0.006220480769230778,1.6526807115090032,-1.1679393306595773,0.7236965054460731,30,74,1.987565594341775,-0.5321891066552897,0.10397115326760613,-0.031198040412148523,False
8,8,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",94,93832.25353797307,-6167.746462026931,-6.167746462026935,-17.661603920604307,17.661603920604307,90.98936170212765,52.12765957446809,47.87234042553192,1390.1394524439563,26.595744680851062,-65.61432406411713,0.006235425531914904,-0.006368404255319161,1.5098967418679088,-1.1848973726843346,0.7445311016724506,25,69,1.987565594341775,-3.152237948952208,-0.451499832877749,-0.17847971017370381,False
9,9,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",85,101992.2415637396,1992.2415637396043,1.9922415637396051,-15.141124124422012,15.141124124422012,97.47058823529412,52.94117647058824,47.05882352941176,1278.6155739313278,27.058823529411764,23.438136043994596,0.006728000000000015,-0.006472588235294128,1.6368991770117842,-1.1495429901623972,0.7376887980147131,23,62,1.987565594341775,0.9974402329976151,0.3966123058850964,0.0658762338120447,True
10,10,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",77,122344.27077984274,22344.270779842744,22.344270779842734,-11.620750157496108,11.620750157496108,108.11688311688312,54.54545454545454,45.45454545454545,1297.5064976458873,29.87012987012987,290.1853348031522,0.007645324675324692,-0.006312207792207804,1.867419736081386,-1.1194717525018714,0.7084549466543206,23,54,1.987565594341775,10.67914213045109,2.555873460738319,0.9189718379378786,True
11,11,"[{'max_rr': 100.0, 'min_rr': 0.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",211,121060.05502904234,21060.05502904234,21.060055029042335,-17.668111429929034,17.668111429929034,70.13744075829383,51.65876777251185,48.34123222748815,3559.131944058552,43.60189573459716,99.81068734143258,0.0056991469194312885,-0.0048192417061611375,1.4485261442931017,-0.9641804879006394,0.6307055433826646,92,119,1.987565594341775,10.093090755159807,1.654863048893524,0.5712603067503037,True
