entry_time,exit_time,side,entry,sl,tp,units,exit,exit_reason,pnl,commission,equity_after,bars_held,stop_dist,mfe,mae,mfe_R,mae_R,giveback,iter,entry_params,exit_params
2010-01-08 07:00:00+00:00,2010-01-08 08:30:00+00:00,long,1.42931,1.4268299999999998,1.43266,403225.80645157065,1.43266,TP,1322.5806451610845,20.16129032257853,101322.58064516108,6,0.0024800000000002598,0.004129999999999967,-4.0000000000040004e-05,1.6653225806449736,-0.016129032258078956,0.20581113801456186,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
2010-01-08 13:15:00+00:00,2010-01-08 14:00:00+00:00,long,1.42842,1.4268299999999998,1.43336,637248.9348751459,1.4268299999999998,SL,-1057.8332318929547,31.862446743757292,100264.74741326812,3,0.0015900000000002024,0.0010999999999998789,-0.0018299999999999983,0.6918238993709049,-1.1509433962262676,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
2010-01-12 16:00:00+00:00,2010-01-12 16:15:00+00:00,short,1.45083,1.45211,1.44663,783318.3391661892,1.45211,SL,-1057.4797578744171,39.16591695830946,99207.2676553937,1,0.0012799999999999478,0.001140000000000141,-0.0016899999999999693,0.8906250000001463,-1.3203125000000298,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
2010-01-14 15:30:00+00:00,2010-01-14 17:00:00+00:00,long,1.44815,1.44627,1.45547,527698.2322095118,1.44627,SL,-1029.011552808672,26.38491161047559,98178.25610258503,6,0.0018800000000001038,0.0009099999999999664,-0.003370000000000095,0.48404255319144474,-1.7925531914893134,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
2010-01-19 11:00:00+00:00,2010-01-19 11:00:00+00:00,long,1.43488,1.43343,1.44111,677091.4213971609,1.43343,SL,-1029.1789605237402,33.854571069858046,97149.07714206129,0,0.0014499999999999513,0.000140000000000029,-0.0027399999999999647,0.09655172413795426,-1.8896551724138322,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
2010-02-02 08:45:00+00:00,2010-02-03 08:30:00+00:00,short,1.39468,1.3987500000000002,1.38757,238695.52123355173,1.3987500000000002,SL,-988.1994579069927,11.934776061677585,96160.8776841543,95,0.00407000000000024,0.003549999999999942,-0.0041200000000001236,0.8722358722358066,-1.012285012284983,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
2010-02-03 08:30:00+00:00,2010-02-03 08:30:00+00:00,short,1.39784,1.3987500000000002,1.39479,1056712.9415838944,1.3987500000000002,SL,-1035.5786827525542,52.83564707919473,95125.29900140174,0,0.0009100000000001884,4.0000000000040004e-05,-0.0009600000000000719,0.043956043956078814,-1.0549450549449155,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
2010-02-03 15:00:00+00:00,2010-02-03 16:15:00+00:00,long,1.39414,1.39242,1.40255,553054.0639616561,1.39242,SL,-989.9667744914058,27.652703198082804,94135.33222691034,5,0.0017199999999999438,0.0015300000000000313,-0.0022899999999999032,0.8895348837209776,-1.3313953488371966,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
2010-02-16 05:45:00+00:00,2010-02-16 16:30:00+00:00,short,1.3641,1.36874,1.3581,202877.87117868706,1.36874,SL,-955.554773251638,10.143893558934353,93179.7774536587,43,0.0046399999999999775,0.0007600000000000939,-0.005309999999999926,0.1637931034482969,-1.1443965517241275,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
2010-02-16 17:00:00+00:00,2010-02-18 01:15:00+00:00,short,1.37016,1.38124,1.3581,84097.27207008924,1.3581,TP,1008.3262921203556,4.204863603504462,94188.10374577905,129,0.011079999999999979,0.012820000000000054,-0.008650000000000047,1.1570397111913429,-0.780685920577623,0.06474258970360539,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""fallback_rr"": 1.5, ""pip_size"": 0.0001, ""sl_buffer_pips"": 0.5}"
