fast,slow,rr,sl_buffer_pips,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R
40,300,1.0,0.5,529,31268.742195008104,-68.7312578049919,-69.03111526040693,42.53308128544423,0.6434910292591789,-0.21444600366016095
50,250,1.0,0.5,565,30874.96375210208,-69.12503624789792,-70.97527712675287,43.36283185840708,0.6731183313250435,-0.20267442891568543
60,300,1.0,0.5,458,29287.567642303547,-70.71243235769646,-73.83742226757374,40.61135371179039,0.6178730941498997,-0.2627991749899491
60,250,1.0,0.5,533,28962.324799215923,-71.03767520078408,-72.26044050175982,42.40150093808631,0.5981168619077977,-0.22712058395517568
50,150,1.0,0.5,795,27708.070418761246,-72.29192958123876,-74.05806537284614,45.660377358490564,0.691758018878224,-0.1561573178565769
60,200,1.0,0.5,632,22758.3454380118,-77.2416545619882,-77.5982634764581,42.08860759493671,0.5909443691512641,-0.22891658167580117
50,300,1.0,0.5,496,22194.77028292872,-77.80522971707128,-78.22308891797036,38.50806451612903,0.5290418875430405,-0.29808972944965256
40,250,1.0,0.5,611,21710.620121064698,-78.2893798789353,-80.0736826999685,41.243862520458265,0.6135307229755822,-0.24464092623541922
30,250,1.0,0.5,686,18084.261683443583,-81.91573831655641,-81.91573831655641,40.816326530612244,0.5771342053739207,-0.2439818127017226
30,300,1.0,0.5,617,18028.697299603453,-81.97130270039654,-82.27987528485907,39.546191247974065,0.5705511998344116,-0.27238533661966174
20,300,1.0,0.5,752,15648.373500944079,-84.35162649905593,-84.62761062266449,41.090425531914896,0.6343756448381708,-0.24136034781078677
20,250,1.0,0.5,786,15404.36794970704,-84.59563205029296,-85.26745742778655,41.475826972010175,0.6588713538190383,-0.232693178802742
40,200,1.0,0.5,701,14737.414091180155,-85.26258590881984,-85.26258590881984,40.08559201141227,0.5897170854323225,-0.2678001190597399
50,200,1.0,0.5,664,14606.470061702077,-85.39352993829792,-85.39352993829792,39.1566265060241,0.5525550610709098,-0.2843923225794978
30,200,1.0,0.5,779,12518.749462911186,-87.48125053708881,-87.82674399321952,39.92297817715019,0.5500046664838213,-0.2614558237531278
40,150,1.0,0.5,862,8905.739242511985,-91.09426075748802,-91.1011384884989,39.791183294663576,0.5449137350612776,-0.2751739766175031
60,150,1.0,0.5,776,8885.327001450816,-91.11467299854918,-91.42883057806498,38.27319587628865,0.5440924544323554,-0.30654692445762505
30,150,1.0,0.5,932,7865.4855769050555,-92.13451442309494,-92.28736237376626,39.91416309012876,0.5887915963798929,-0.2674868744949363
20,200,1.0,0.5,898,7794.056232811452,-92.20594376718854,-92.71180267803771,38.97550111358575,0.5846067369512545,-0.278860193211119
20,150,1.0,0.5,1083,7298.736872469509,-92.70126312753048,-93.33516775500183,41.27423822714682,0.6041678162646871,-0.23637239093631407
30,100,1.0,0.5,1267,3766.246373090416,-96.23375362690958,-96.54243625027695,40.72612470402526,0.5880169438913166,-0.2534496360906045
20,100,1.0,0.5,1415,3415.1739122285708,-96.58482608777142,-96.65868464941683,41.48409893992933,0.6284489879350693,-0.23334076857306793
50,100,1.0,0.5,1190,2931.8376412679354,-97.06816235873207,-97.13375712871833,39.15966386554622,0.5084075413895778,-0.2911874043858472
40,100,1.0,0.5,1193,2223.9601912074013,-97.7760398087926,-97.84075005032312,38.055322715842415,0.5274349607828772,-0.3135529590035491
60,100,1.0,0.5,1183,1950.7731910742589,-98.04922680892574,-98.06772729229736,37.447168216398985,0.4664200388859998,-0.32737315222399577
