entry_time,exit_time,side,entry,sl,tp,units,exit,exit_reason,pnl,commission,equity_after,bars_held,stop_dist,mfe,mae,mfe_R,mae_R,giveback,iter,entry_params,exit_params
2010-01-05 05:45:00+00:00,2010-01-05 05:45:00+00:00,short,1.44334,1.4443035714285715,1.4423764285714287,1037805.7820608368,1.4423764285714287,TP,927.3535952556218,51.89028910304184,100927.35359525563,0,0.0009635714285713812,0.0011700000000001154,-0.0005399999999999849,1.214232765011299,-0.5604151223128363,0.2362637362639506,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-01-19 11:00:00+00:00,2010-01-19 11:00:00+00:00,long,1.43488,1.4335314285714285,1.4362285714285714,748401.9864055058,1.4335314285714285,SL,-1061.6616750010874,37.42009932027529,99865.69192025454,0,0.0013485714285714132,0.000140000000000029,-0.0027399999999999647,0.10381355932205658,-2.0317796610169463,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-02-03 15:00:00+00:00,2010-02-03 15:15:00+00:00,long,1.39414,1.3929242857142856,1.3953557142857143,821456.9253134796,1.3953557142857143,TP,941.1549344305071,41.07284626567398,100806.84685468505,1,0.0012157142857143041,0.0012499999999999734,-0.00025999999999992696,1.0282021151585994,-0.21386603995293316,0.08342857142862942,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-02-10 14:00:00+00:00,2010-02-10 15:15:00+00:00,long,1.37461,1.372427142857143,1.3767928571428572,461811.4711929302,1.372427142857143,SL,-1040.3952715303724,23.090573559646508,99766.45158315467,5,0.002182857142857137,0.0018299999999999983,-0.0022700000000002163,0.8383507853403156,-1.0399214659686882,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-02-22 00:45:00+00:00,2010-02-22 01:30:00+00:00,short,1.36217,1.3633350000000002,1.361005,856364.3912717348,1.3633350000000002,SL,-1057.6100232207755,42.81821956358674,98708.8415599339,3,0.0011649999999999716,0.00021000000000004349,-0.0022399999999997977,0.18025751072965546,-1.922746781115753,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-02-23 12:30:00+00:00,2010-02-23 12:45:00+00:00,long,1.35737,1.3556107142857143,1.3591292857142856,561073.3990414449,1.3556107142857143,SL,-1026.3635535322692,28.053669952072244,97682.47800640164,1,0.0017592857142857093,0.000140000000000029,-0.0022199999999998887,0.07957775071053233,-1.2618757612666882,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-03-04 11:45:00+00:00,2010-03-04 12:00:00+00:00,short,1.36824,1.3698042857142856,1.3666757142857142,624454.1973011906,1.3666757142857142,TP,933.1129862528217,31.222709865059528,98615.59099265446,1,0.0015642857142857322,0.0018299999999999983,-9.000000000014552e-05,1.1698630136986157,-0.05753424657543483,0.1834504293521557,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-03-15 10:15:00+00:00,2010-03-15 10:45:00+00:00,long,1.37235,1.3710328571428572,1.3736671428571428,748708.3914843429,1.3710328571428572,SL,-1038.5654973304754,37.43541957421714,97577.02549532398,2,0.0013171428571428897,0.000180000000000069,-0.0016499999999999293,0.1366594360087258,-1.2527114967461193,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-03-16 20:30:00+00:00,2010-03-17 07:45:00+00:00,short,1.37687,1.3787185714285715,1.3750214285714286,527850.9879963405,1.3787185714285715,SL,-1012.7198241130444,26.392549399817025,96564.30567121094,45,0.0018485714285714375,0.001100000000000101,-0.0021800000000000708,0.595054095826945,-1.1792890262751485,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-03-26 14:15:00+00:00,2010-03-26 14:30:00+00:00,long,1.33502,1.3335392857142858,1.3365007142857144,652146.7821500112,1.3365007142857144,TP,919.9927819615334,32.60733910750056,97484.29845317248,1,0.0014807142857142638,0.0015399999999998748,-0.000520000000000076,1.0400385914133414,-0.3511818620357535,0.0839517625232057,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-03-30 10:45:00+00:00,2010-03-30 10:45:00+00:00,long,1.3472,1.345557857142857,1.3488421428571429,593640.7909284084,1.3488421428571429,TP,933.2881291666961,29.68203954642042,98417.58658233918,0,0.0016421428571428618,0.0019100000000000783,0.0,1.1631143975642027,0.0,0.176888556469775,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-04-05 15:15:00+00:00,2010-04-05 15:15:00+00:00,short,1.34978,1.3508271428571428,1.3487328571428572,939867.8118367923,1.3508271428571428,SL,-1049.9666126520308,46.99339059183961,97367.61996968715,0,0.0010471428571428656,0.0001100000000000545,-0.0016899999999999693,0.10504774897685884,-1.6139154160981841,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-04-06 02:00:00+00:00,2010-04-06 02:00:00+00:00,long,1.34659,1.3458485714285715,1.3473314285714284,1313243.4292636523,1.3458485714285715,SL,-1065.6032397453741,65.66217146318262,96302.01672994178,0,0.0007414285714285437,2.999999999997449e-05,-0.0007500000000000284,0.04046242774563185,-1.0115606936416945,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-04-08 03:30:00+00:00,2010-04-08 05:00:00+00:00,long,1.33187,1.3310278571428573,1.332712142857143,1143535.3979806951,1.332712142857143,TP,882.972689440583,57.17676989903475,97184.98941938236,6,0.0008421428571428231,0.0010599999999998388,-0.0005800000000000249,1.2586938083119885,-0.6887192536048072,0.2715633423181343,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
2010-04-09 15:45:00+00:00,2010-04-09 16:00:00+00:00,short,1.34278,1.3443335714285716,1.3412264285714286,625558.5525845321,1.3443335714285716,SL,-1015.6389928748627,31.277927629226603,96169.35042650749,1,0.001553571428571424,0.000400000000000178,-0.0044799999999998175,0.25747126436793144,-2.8836781609194313,1.0,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 1.0, ""liq_move_away_atr"": 2.0}]","{""atr_period"": 14, ""rr"": 1.0, ""sldist_atr_mult"": 1.0}"
