fast,slow,rr,sl_buffer_pips,trial_number,value,_objective_key,_objective_value,avg_R,final_equity,max_drawdown_%,profit_factor,total_return_%,trades,win_rate_%
29,175,2.8741454000478583,1.6586575337438054,206,232.11238236805158,total_return_%,232.11238236805158,0.158164305331021,332112.38236805156,-35.293524869862225,1.1649986158893546,232.11238236805158,844.0,30.80568720379147
29,186,2.7763175474551787,3.1686151454872133,278,216.53769629246864,total_return_%,216.53769629246864,0.1573379191855364,316537.69629246864,-23.272168124369063,1.176553914827921,216.53769629246864,811.0,31.319358816276203
33,166,2.916429509778235,1.4135746001643181,115,215.51725808269683,total_return_%,215.51725808269683,0.15459351569663843,315517.2580826968,-30.481939807728985,1.1590985422722633,215.51725808269683,830.0,30.481927710843376
29,183,2.8849081138694896,2.163423257835296,250,202.9211632132347,total_return_%,202.9211632132347,0.15274102023698438,302921.1632132347,-24.19059514913001,1.168877577759564,202.9211632132347,810.0,30.493827160493826
29,184,2.8375470095326807,2.6637558877836334,260,201.94640784618994,total_return_%,201.94640784618994,0.15153199222416974,301946.4078461899,-23.358411232163878,1.149752678114546,201.94640784618994,813.0,30.75030750307503
31,175,2.872905888361184,3.181397797775462,103,201.7379545401047,total_return_%,201.7379545401047,0.15044129915502982,301737.9545401047,-17.56576666591951,1.1662976140431975,201.7379545401047,820.0,30.365853658536583
28,194,2.7878682231455003,3.0039464524025843,266,197.68365310404286,total_return_%,197.68365310404286,0.15145941028822604,297683.65310404287,-20.566978523898484,1.1847670485198118,197.68365310404286,801.0,31.086142322097377
29,184,2.795090342253439,2.7029913397554632,261,194.167065278315,total_return_%,194.167065278315,0.14804337235642046,294167.065278315,-24.244829761829035,1.1458698342830749,194.167065278315,813.0,30.996309963099634
29,183,2.8536047029857454,2.2852388000118258,240,183.12277499181806,total_return_%,183.12277499181806,0.14413207831640845,283122.77499181806,-24.75695833723709,1.1570573973142377,183.12277499181806,810.0,30.493827160493826
28,194,2.8918709774608486,1.9002599956255855,252,181.97007370587409,total_return_%,181.97007370587409,0.1452602989050701,281970.0737058741,-19.030022219217212,1.1571729751467288,181.97007370587409,801.0,30.337078651685395
29,175,2.846625227113353,3.341809584329286,234,180.82178922419993,total_return_%,180.82178922419993,0.13785251939704274,280821.78922419995,-24.739286724809507,1.1633542989668353,180.82178922419993,844.0,30.213270142180093
29,186,2.8892301495607073,2.6805330874175874,247,178.96306858094903,total_return_%,178.96306858094903,0.14229168899156003,278963.06858094904,-22.09417220451355,1.1505477302458706,178.96306858094903,811.0,30.08631319358816
29,183,2.8458641630021306,2.270294344818626,241,177.6573267742247,total_return_%,177.6573267742247,0.14166075317346022,277657.3267742247,-24.9329195751558,1.1541941355521668,177.6573267742247,810.0,30.493827160493826
30,175,2.8837186693666697,1.878822910304777,205,175.36272746146636,total_return_%,175.36272746146636,0.13678995403498398,275362.7274614664,-41.174300897218664,1.1324543067224877,175.36272746146636,837.0,30.107526881720432
32,172,2.956534991004022,3.2047814942070345,150,169.17920991508976,total_return_%,169.17920991508976,0.13791660383083018,269179.20991508977,-21.40521397791573,1.1547614874989214,169.17920991508976,813.0,29.397293972939732
29,184,2.8237527311220454,1.8324535267186914,254,166.7195295297993,total_return_%,166.7195295297993,0.1361225627925558,266719.5295297993,-29.893897420731253,1.1287079078513562,166.7195295297993,813.0,30.627306273062732
29,186,2.828882226688008,2.333797686915541,272,166.22893351256312,total_return_%,166.22893351256312,0.13614517533066897,266228.9335125631,-22.654437774238556,1.1454345944649462,166.22893351256312,811.0,30.456226880394578
32,172,2.9609890833459365,3.1973872951476285,151,161.41978397317936,total_return_%,161.41978397317936,0.1343117189148671,261419.78397317938,-21.40280947910179,1.1467142095008767,161.41978397317936,813.0,29.274292742927425
30,175,2.9266617740391494,2.276619731123165,201,158.1488902327846,total_return_%,158.1488902327846,0.12922396390337754,258148.89023278462,-40.855723957246646,1.1218437710593139,158.1488902327846,837.0,29.51015531660693
33,171,2.9932692346511125,3.1171051006131885,155,153.18420562325596,total_return_%,153.18420562325596,0.13080724979981628,253184.20562325598,-22.791219616383284,1.1335475316194188,153.18420562325596,811.0,28.976572133168926
33,183,2.1651766590962445,5.4602069709248715,53,146.9596650837259,total_return_%,146.9596650837259,0.1262842692252618,246959.66508372588,-19.228195693045137,1.1525853854751118,146.9596650837259,788.0,36.16751269035533
29,184,2.7420879014272463,2.484713546730705,245,146.17496493112006,total_return_%,146.17496493112006,0.12566213852423566,246174.96493112005,-30.849205393572664,1.1242007027004952,146.17496493112006,813.0,30.873308733087327
29,182,2.871742593471623,2.505177606410763,238,142.97750522470852,total_return_%,142.97750522470852,0.12489707828184522,242977.5052247085,-25.29125384980525,1.127943633953569,142.97750522470852,812.0,29.802955665024633
30,184,2.6591534108998043,2.5829691696543655,275,138.20638515724877,total_return_%,138.20638515724877,0.12216625475227774,238206.38515724876,-27.833746080544998,1.1023823249838498,138.20638515724877,805.0,31.428571428571427
33,166,2.8872975110936747,2.8443315077706948,113,134.56412086713368,total_return_%,134.56412086713368,0.11852944589736095,234564.12086713366,-28.8981635856278,1.1275262113359381,134.56412086713368,828.0,29.468599033816425
30,184,2.674340457373014,2.93824036545242,283,133.44911733812617,total_return_%,133.44911733812617,0.11970415774672816,233449.11733812615,-29.921365244297725,1.1061162318443005,133.44911733812617,805.0,31.180124223602483
33,176,2.865568097932483,2.2891262580360343,137,132.56409429053963,total_return_%,132.56409429053963,0.12073258896651544,232564.09429053962,-21.675696081555184,1.1112611114496018,132.56409429053963,802.0,29.800498753117203
28,186,2.8131683118767743,2.2355880144108626,297,129.8717217591599,total_return_%,129.8717217591599,0.11753994802012478,229871.7217591599,-22.294857655714463,1.1318838098379282,129.8717217591599,813.0,30.13530135301353
30,183,2.9684811294043274,2.174789390259843,202,129.43689602128185,total_return_%,129.43689602128185,0.11936459701752554,229436.89602128186,-37.92425152624516,1.1035795158280626,129.43689602128185,804.0,28.980099502487562
26,166,2.778885941876198,2.665071668508114,106,128.7070357643346,total_return_%,128.7070357643346,0.1049750713126433,228707.0357643346,-34.182317518678055,1.1216448171027247,128.7070357643346,918.0,29.956427015250547
30,175,2.8246434397667533,0.8723051909374838,133,125.90823297844204,total_return_%,125.90823297844204,0.11263618136148977,225908.23297844204,-41.3779818511579,1.1000972391275043,125.90823297844204,838.0,30.310262529832936
