iter,attempt,entry_params,exit_params,trades,final_equity,net_profit_abs,total_return_%,max_drawdown_%,max_drawdown_abs_%,avg_bars_held,long_trade_pct,short_trade_pct,commission_sum,win_rate_%,avg_profit_per_trade,avg_mfe,avg_mae,avg_mfe_R,avg_mae_R,avg_giveback,wins,losses,equity_years,cagr_%,sortino,mar,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",98,89938.74109125216,-10061.25890874784,-10.061258908747838,-18.78582693167674,18.78582693167674,68.31632653061224,52.04081632653062,47.95918367346938,1527.8997830878698,30.612244897959183,-102.66590723212131,0.005407755102040819,-0.005713265306122461,1.5312723812416973,-1.3630488969761547,0.7200506760264735,30,68,1.987565594341775,-5.195414125178499,-0.6167535265164507,-0.27656031028466305,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",91,86014.66378806959,-13985.336211930407,-13.98533621193041,-19.410429265046847,19.410429265046847,67.16483516483517,51.64835164835166,48.35164835164835,1375.6626110598315,29.67032967032967,-153.6850133179165,0.005252087912087915,-0.005810549450549464,1.4737933536582541,-1.3658500979228643,0.7268912681478318,27,64,1.987565594341775,-7.299604376899094,-0.9871183667026617,-0.3760660971081041,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",81,84448.14821760754,-15551.851782392463,-15.551851782392468,-19.324749902671602,19.324749902671602,66.98765432098766,50.617283950617285,49.382716049382715,1201.4384445696119,28.39506172839506,-191.99817015299388,0.004865185185185185,-0.005799382716049403,1.4031004083072973,-1.3700510429915713,0.7376884294949597,23,58,1.987565594341775,-8.152902672468098,-1.2142960711072468,-0.421889168735942,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",70,82250.54976477813,-17749.45023522187,-17.749450235221865,-18.95803255700682,18.95803255700682,73.05714285714286,51.42857142857142,48.57142857142857,1031.9847174773827,27.142857142857142,-253.5635747888834,0.004930285714285709,-0.005854428571428597,1.3679076902401697,-1.370970854379485,0.7477014120098336,19,51,1.987565594341775,-9.363327154805113,-1.52664538499689,-0.49389761973715257,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",58,89984.2114923554,-10015.788507644596,-10.015788507644597,-11.921045298473532,11.921045298473532,82.15517241379311,46.55172413793103,53.44827586206896,858.9730147282343,27.586206896551722,-172.68600875249254,0.0054355172413793,-0.006062586206896581,1.4942296090268141,-1.3381501479225781,0.736947566051699,16,42,1.987565594341775,-5.171302009517376,-0.8471882883235307,-0.4337960204026363,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",55,83891.78212144894,-16108.217878551062,-16.108217878551066,-16.40197333445742,16.40197333445742,84.8,45.45454545454545,54.54545454545454,711.646240169155,21.818181818181817,-292.8766887009289,0.005481454545454541,-0.006406727272727298,1.4500919964954413,-1.3176912141322616,0.7952473845916057,12,43,1.987565594341775,-8.457851585002308,-1.6102775255150454,-0.5156606106189658,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",49,90852.22080050486,-9147.77919949514,-9.147779199495144,-11.973330595662791,11.973330595662791,91.71428571428571,48.97959183673469,51.02040816326531,642.4517627623234,24.489795918367346,-186.6893714182688,0.005886734693877544,-0.0063846938775510495,1.5198625894757458,-1.2847085705130097,0.7691087528373426,12,37,1.987565594341775,-4.7121681184097985,-0.9010371829692628,-0.39355533372783763,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",47,90448.1247094421,-9551.875290557902,-9.551875290557899,-11.63394712520609,11.63394712520609,94.2127659574468,46.808510638297875,53.191489361702125,588.7530996834608,23.404255319148938,-203.23138916080603,0.005995106382978725,-0.007082340425531938,1.448545886548929,-1.2884232557421926,0.780371200569263,11,36,1.987565594341775,-4.9256425055916875,-0.9794054542731434,-0.42338532680106467,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.0}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",43,91742.05583237714,-8257.94416762286,-8.257944167622854,-10.728399473043538,10.728399473043538,111.06976744186046,46.51162790697674,53.48837209302325,539.8495294054821,23.25581395348837,-192.0452132005312,0.006388139534883723,-0.007196279069767466,1.526595237735702,-1.2908164142003409,0.7759834042456739,10,33,1.987565594341775,-4.243746388845215,-0.8523153047742978,-0.39556192883273644,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.5}]","{'fallback_rr': 1.5, 'pip_size': 0.0001, 'sl_buffer_pips': 0.5}",38,97101.41258335536,-2898.5874166446447,-2.898587416644649,-9.390660910082982,9.390660910082982,109.6842105263158,50.0,50.0,486.6929237288524,26.31578947368421,-76.27861622749091,0.006385789473684219,-0.006977894736842119,1.5967039043680828,-1.2616516851379302,0.7448699881686841,10,28,1.987565594341775,-1.4690171727312684,-0.23171638180831858,-0.15643384281440179,False
