iter,attempt,entry_params,exit_params,trades,final_equity,net_profit_abs,total_return_%,max_drawdown_%,max_drawdown_abs_%,avg_bars_held,long_trade_pct,short_trade_pct,commission_sum,win_rate_%,avg_profit_per_trade,avg_mfe,avg_mae,avg_mfe_R,avg_mae_R,avg_giveback,wins,losses,equity_years,cagr_%,sortino,mar,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",198,80412.20269609381,-19587.79730390619,-19.587797303906196,-23.7831365755611,23.7831365755611,8.06060606060606,52.02020202020202,47.97979797979798,4621.366445428085,37.37373737373738,-98.92826921164678,0.002063484848484857,-0.0023406060606060417,0.9937510319657289,-1.0513277144721698,0.6860810306332769,74,124,1.987565594341775,-10.38827823019025,-1.4853417407490663,-0.4367917661821343,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",179,78499.9008095967,-21500.0991904033,-21.500099190403297,-23.38655863683764,23.38655863683764,8.150837988826815,52.513966480446925,47.486033519553075,4050.3861690794283,36.312849162011176,-120.11228597990662,0.002102513966480458,-0.002394916201117301,0.9693186841325311,-1.0588308703614941,0.6954676689086691,65,114,1.987565594341775,-11.466894287467532,-1.7450228311089868,-0.490319865591738,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",161,75693.06812045025,-24306.931879549753,-24.306931879549754,-24.94219369108589,24.94219369108589,7.701863354037267,50.931677018633536,49.06832298136646,3564.0415154592065,34.78260869565217,-150.97473217111667,0.0020537267080745487,-0.002475652173913025,0.9240455302764271,-1.08936074538093,0.7085149090658437,56,105,1.987565594341775,-13.073991869265821,-2.1183080456339587,-0.5241716920007058,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",143,72993.40573555419,-27006.594264445812,-27.006594264445816,-27.006594264445816,27.006594264445816,7.174825174825175,50.349650349650354,49.65034965034965,3147.0442700475787,32.86713286713287,-188.8573025485717,0.001955104895104904,-0.0024990909090908935,0.8815657577489286,-1.0616128510183607,0.7182621470726601,47,96,1.987565594341775,-14.64791036366828,-2.5318647682677793,-0.5423827314261634,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",126,71369.7465941157,-28630.2534058843,-28.630253405884297,-28.927108184352278,28.927108184352278,7.095238095238095,47.61904761904761,52.38095238095239,2708.216796050075,30.952380952380953,-227.22423338003463,0.0019267460317460418,-0.0025263492063491884,0.8526951871936086,-1.080304584049379,0.7360644102944139,39,87,1.987565594341775,-15.608469643566625,-2.866934586986376,-0.539579329675609,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",111,77534.49068154617,-22465.509318453827,-22.465509318453826,-24.40568477368594,24.40568477368594,7.378378378378378,49.549549549549546,50.45045045045045,2303.386137194449,32.432432432432435,-202.39197584192667,0.0020450450450450537,-0.00255342342342341,0.8727735999610036,-1.0572500820726392,0.7262680931347086,36,75,1.987565594341775,-12.016384598829976,-2.3218889274945234,-0.49236006734734067,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",97,77294.63737734457,-22705.362622655433,-22.705362622655436,-25.433517918904023,25.433517918904023,8.0,49.48453608247423,50.51546391752577,1920.6601224484532,30.927835051546392,-234.07590332634464,0.002110412371134025,-0.002730412371134014,0.8599275429439941,-1.1032699241254482,0.737094076216065,30,67,1.987565594341775,-12.153430250465346,-2.5004071929347664,-0.47785093234908105,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",89,76019.65793200547,-23980.342067994527,-23.98034206799453,-26.02785187269313,26.02785187269313,8.359550561797754,49.43820224719101,50.56179775280899,1742.6082899678888,29.213483146067414,-269.4420457078036,0.0020769662921348384,-0.002739101123595499,0.844754055651912,-1.0958220860818981,0.7499594724267331,26,63,1.987565594341775,-12.885492451860891,-2.757224841741208,-0.4950655365216513,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",83,85144.5090078426,-14855.4909921574,-14.855490992157405,-17.148769096167516,17.148769096167516,8.927710843373495,51.80722891566265,48.19277108433735,1633.2196654544884,33.734939759036145,-178.9818191826191,0.002254457831325311,-0.002736867469879513,0.903192838397479,-1.0573543308149287,0.71248950866541,28,55,1.987565594341775,-7.772624689167873,-1.7088451537192226,-0.4532467983900334,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",73,85467.69297341131,-14532.307026588693,-14.532307026588697,-17.694725949087363,17.694725949087363,9.315068493150685,50.68493150684932,49.31506849315068,1438.4944673041412,32.87671232876712,-199.0726989943653,0.002183013698630145,-0.002789452054794514,0.8746105349275849,-1.0586648402401873,0.7203528203897014,24,49,1.987565594341775,-7.596661192081755,-1.7758063612197343,-0.4293178212502108,False
