entry_time,exit_time,side,entry,sl,tp,units,exit,exit_reason,pnl,equity_after,r_multiple
2010-01-18 15:00:00+00:00,2010-01-18 15:00:00+00:00,short,1.43844,1.43964,1.4360399999999998,833333.3333332709,1.43964,SL,-1016.6666666667745,98983.33333333323,-1.0166666666667745
2010-03-03 10:00:00+00:00,2010-03-03 10:00:00+00:00,long,1.36327,1.3618700000000001,1.3660699999999997,707023.8095238867,1.3618700000000001,SL,-1003.9738095239027,97979.35952380933,-1.0142857142858095
2010-03-19 18:00:00+00:00,2010-03-19 19:00:00+00:00,short,1.35417,1.35482,1.3528700000000005,1507374.7619051824,1.3528700000000005,TP,1929.4396952378854,99908.79921904721,1.969230769230559
2010-04-01 11:00:00+00:00,2010-04-01 11:00:00+00:00,long,1.34954,1.34815,1.35232,718768.3397053744,1.34815,SL,-1013.4633589846738,98895.33586006254,-1.0143884892087274
2010-04-07 09:00:00+00:00,2010-04-07 09:00:00+00:00,short,1.33866,1.3400999999999998,1.3357800000000002,686773.1656949332,1.3400999999999998,SL,-1002.688821914614,97892.64703814792,-1.013888888888981
2010-04-12 17:00:00+00:00,2010-04-13 06:00:00+00:00,long,1.35758,1.3562800000000002,1.3601799999999997,753020.36183199,1.3601799999999997,TP,1942.7925335262198,99835.43957167414,1.984615384615282
2010-04-20 07:00:00+00:00,2010-04-20 07:00:00+00:00,short,1.34634,1.34733,1.3443600000000004,1008438.783552443,1.34733,SL,-1018.5231713879225,98816.91640028622,-1.0202020202021562
2010-05-25 00:00:00+00:00,2010-05-25 00:00:00+00:00,long,1.23378,1.23307,1.2352,1391787.5549336313,1.23307,SL,-1016.0049151017171,97800.91148518451,-1.028169014084692
2010-05-25 08:00:00+00:00,2010-05-25 18:00:00+00:00,short,1.22355,1.22941,1.21183,166895.75338768755,1.22941,SL,-981.3470299196207,96819.56445526489,-1.0034129692832987
2010-06-14 12:00:00+00:00,2010-06-14 21:00:00+00:00,long,1.22419,1.22078,1.2310099999999997,283928.34151104797,1.22078,SL,-973.8742113829071,95845.69024388198,-1.0058651026393348
