iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",211,79544.64954257157,-20.455350457428434,-24.87275850152266,37.44075829383886,0.8282061321470079,-0.10111934060491601,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",192,75737.42121700657,-24.262578782993426,-26.344745742095597,35.9375,0.7809114775780857,-0.13747086052098767,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",168,72157.749669154,-27.842250330845996,-29.47175899916895,33.92857142857143,0.7138438167586834,-0.1870670273903284,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",149,68588.42223553252,-31.41157776446748,-31.41157776446748,31.543624161073826,0.6507728737474009,-0.24601710648507924,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",129,69191.29153591595,-30.808708464084045,-31.096502193234,30.23255813953488,0.6140752517428172,-0.2785285986361093,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",111,77534.49068154617,-22.465509318453826,-24.40568477368594,32.432432432432435,0.6706262196303141,-0.22214954024136616,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",97,77294.63737734457,-22.705362622655436,-25.433517918904023,30.927835051546392,0.6240693753231876,-0.25850648781720387,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",89,76019.65793200547,-23.98034206799453,-26.02785187269313,29.213483146067414,0.5750845096391718,-0.30115554863486627,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",83,85144.5090078426,-14.855490992157405,-17.148769096167516,33.734939759036145,0.715068979563758,-0.18662134828915883,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",73,85467.69297341131,-14.532307026588697,-17.694725949087363,32.87671232876712,0.687882449742323,-0.20802752957895893,False
11,11,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",210,80483.32660996815,-19.516673390031848,-25.56731221601083,37.61904761904762,0.8314888260044976,-0.09603121928315442,False
12,12,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",198,78665.48314037702,-21.334516859622976,-26.202187625105765,36.868686868686865,0.8083992359590494,-0.11387496221416002,False
13,13,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",170,78153.78955059258,-21.846210449407412,-25.81480691619914,35.88235294117647,0.7765922868827787,-0.1377330595893499,False
14,14,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",151,78081.94011920027,-21.918059880799735,-26.23180050583115,35.099337748344375,0.7535829813290353,-0.15663286845478164,False
15,15,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 1.5}",133,77217.24472102104,-22.78275527897896,-26.703794634042634,33.83458646616541,0.7092806225102122,-0.18724212854915373,False
