entry_time,exit_time,side,entry,sl,tp,units,exit,exit_reason,pnl,commission,equity_after,r_multiple,iter,entry_params,exit_params
2010-01-08 07:00:00+00:00,2010-01-08 07:00:00+00:00,long,1.42931,1.4280875000000002,1.4311437500000002,817995.9100204397,1.4311437500000002,TP,1442.7402862985073,40.899795501021984,101442.7402862985,1.4427402862985075,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-01-08 13:15:00+00:00,2010-01-08 14:00:00+00:00,long,1.42842,1.4267710714285715,1.430893392857143,615203.9696808043,1.4267710714285715,SL,-1057.4916807406537,30.760198484040213,100385.24860555785,-1.042451808533691,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-01-12 16:00:00+00:00,2010-01-12 16:45:00+00:00,short,1.45083,1.4534035714285716,1.4469696428571428,390062.02622198197,1.4534035714285716,SL,-1031.1568278911932,19.503101311099098,99354.09177766666,-1.027199555925693,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-01-14 15:30:00+00:00,2010-01-14 17:00:00+00:00,long,1.44815,1.4456653571428573,1.4518769642857143,399872.72815504693,1.4456653571428573,SL,-1021.5320087475407,19.993636407752348,98332.55976891912,-1.0281730631019323,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-01-19 11:00:00+00:00,2010-01-19 11:00:00+00:00,long,1.43488,1.4328571428571428,1.4379142857142857,486107.28699324984,1.4328571428571428,SL,-1017.3531077787749,24.305364349662494,97315.20666114034,-1.0346045197740688,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-02 08:45:00+00:00,2010-02-02 09:30:00+00:00,short,1.39468,1.3968314285714285,1.391452857142857,452328.31781406817,1.391452857142857,TP,1428.0651176700774,22.616415890703408,98743.27177881042,1.4674634794156263,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-02 19:30:00+00:00,2010-02-03 03:30:00+00:00,short,1.39731,1.399065,1.3946775000000002,562639.7252354077,1.3946775000000002,TP,1441.7642959155546,28.131986261770386,100185.03607472597,1.4601139601138338,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-03 08:30:00+00:00,2010-02-03 09:30:00+00:00,short,1.39784,1.3989285714285715,1.3962071428571428,920334.9770643966,1.3989285714285715,SL,-1066.273809141983,46.01674885321983,99118.76226558398,-1.0643044619424713,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-03 15:00:00+00:00,2010-02-03 16:15:00+00:00,long,1.39414,1.3923164285714285,1.3968753571428572,543541.978738016,1.3923164285714285,SL,-1029.235561167585,27.177098936900798,98089.52670441639,-1.03838621229934,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-16 05:45:00+00:00,2010-02-16 06:30:00+00:00,short,1.3641,1.3651167857142859,1.3625748214285716,964702.0539949631,1.3651167857142859,SL,-1048.4244108239836,48.235102699748154,97041.10229359241,-1.0688443976116966,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-16 14:45:00+00:00,2010-02-16 16:30:00+00:00,short,1.36666,1.3686796428571428,1.3636305357142857,480486.4481380228,1.3686796428571428,SL,-1004.0450743056182,24.024322406901142,96037.0572192868,-1.0346595932803155,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-16 17:00:00+00:00,2010-02-16 17:15:00+00:00,short,1.37016,1.3726114285714286,1.366482857142857,391759.5574213291,1.3726114285714286,SL,-987.7937412123937,19.587977871066453,95049.26347807441,-1.0285547785548121,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
