iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
220,220,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.5, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",14,108382.67220530414,8.382672205304154,-2.0361945555555705,64.28571428571429,2.5577491526600435,0.5838095238094821,598.7623003788673,False
221,221,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.5, 'liq_move_away_atr': 3.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",14,108382.67220530414,8.382672205304154,-2.0361945555555705,64.28571428571429,2.5577491526600435,0.5838095238094821,598.7623003788673,False
222,222,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.5, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",15,107273.55619306988,7.2735561930698855,-2.0361945555555705,60.0,2.1431667707096578,0.47666666666662727,484.903746204657,False
223,223,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.5, 'liq_move_away_atr': 4.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",17,105089.25788231574,5.089257882315734,-2.0361945555555705,52.94117647058824,1.6132299673107353,0.3001960784313368,299.3681107244542,False
224,224,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.5, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",18,109334.66723960321,9.334667239603212,-2.0361945555555705,61.111111111111114,2.2748201160654324,0.5044444444444044,518.5926244224003,False
225,225,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.5, 'liq_move_away_atr': 4.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",17,107743.65263568301,7.743652635683018,-2.0361945555555816,58.82352941176471,2.0442344082522284,0.44725490196074547,455.5089785695892,False
226,226,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.5, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",16,108857.62903952076,8.857629039520765,-2.0361945555555705,62.5,2.355160993815004,0.5391666666666257,553.6018149700492,False
227,227,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.5, 'liq_move_away_atr': 5.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",16,108857.62903952075,8.857629039520742,-2.0361945555555705,62.5,2.3587469204193257,0.5391666666666257,553.6018149700491,False
228,228,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.5, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",16,111607.20711447576,11.60720711447576,-1.0233333333333428,68.75,3.1201913255732676,0.6954166666666224,725.4504446547365,False
229,229,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",13,106805.51082873324,6.805510828733241,-2.0361945555555705,61.53846153846154,2.268509660168034,0.5151282051281648,523.5008329794804,False
