iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",109,105255.82269478509,5.255822694785084,-11.97177568633656,43.11926605504588,1.0888620454786448,0.05464831804278301,48.21855683289084,True
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",108,106344.07708360742,6.3440770836074245,-12.019494563921018,43.51851851851852,1.1090701165640837,0.06462962962959894,58.74145447784604,True
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",103,106508.05403210905,6.508054032109056,-12.403362398480688,43.689320388349515,1.117059554918889,0.06889967637537373,63.18499060300012,True
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",103,109198.28541742139,9.198285417421381,-12.403362398480688,44.66019417475729,1.1681532821631255,0.09317152103556739,89.30374191671234,True
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",97,110497.42033918478,10.497420339184792,-11.497688746654777,45.36082474226804,1.2035471875879717,0.11068728522333596,108.22082823901836,True
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",96,108889.48560179834,8.889485601798341,-11.497688746654777,44.79166666666667,1.1733918191750496,0.09645833333330191,92.59880835206563,True
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",91,106370.62724205595,6.370627242055948,-9.819755516154682,43.956043956043956,1.12883479257156,0.07556776556773455,70.00689276984579,True
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",88,101794.22524306673,1.7942252430667383,-13.09729286426582,42.04545454545455,1.0372941908411109,0.027803030303000374,20.38892321666817,True
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",85,102397.95920245546,2.3979592024554686,-13.699595861422742,42.35294117647059,1.052385296246987,0.03549019607840126,28.211284734770466,True
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",82,105607.03035090538,5.607030350905373,-12.807324145175036,43.90243902439025,1.128750420143058,0.07422764227639182,68.37841891348042,True
11,11,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",82,103005.2738629385,3.0052738629384956,-13.699595861422754,42.68292682926829,1.0683147472597745,0.04373983739834371,36.64968125534713,True
12,12,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",77,105769.87081228482,5.769870812284816,-13.187754599671242,44.15584415584416,1.1419357000686758,0.08056277056273949,74.9333871725299,True
13,13,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",75,110695.43115509118,10.695431155091173,-11.383347138795818,46.666666666666664,1.2740936649427597,0.14333333333330092,142.60574873454846,True
