entry_time,exit_time,bars_held,side,entry,exit,sl,tp,stop_dist,exit_reason,units,pnl,commission,mfe,mae,mfe_R,mae_R,giveback,equity_after,iter,entry_params,exit_params
2010-01-08 07:00:00+00:00,2010-01-08 07:00:00+00:00,0,long,1.42931,1.4311437500000002,1.4280875000000002,1.4311437500000002,0.0012225000000000152,TP,817995.9100204397,1442.7402862985073,40.899795501021984,0.0021700000000000053,-4.0000000000040004e-05,1.7750511247443586,-0.03271983640085031,0.18721198156684654,101442.7402862985,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-01-08 13:15:00+00:00,2010-01-08 14:00:00+00:00,3,long,1.42842,1.4267710714285715,1.4267710714285715,1.430893392857143,0.0016489285714286206,SL,615203.9696808043,-1057.4916807406537,30.760198484040213,0.0010999999999998789,-0.0018299999999999983,0.6670998483863048,-1.1098115659518828,1.0,100385.24860555785,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-01-12 16:00:00+00:00,2010-01-12 16:45:00+00:00,3,short,1.45083,1.4534035714285716,1.4534035714285716,1.4469696428571428,0.002573571428571445,SL,390062.02622198197,-1031.1568278911932,19.503101311099098,0.001140000000000141,-0.003649999999999931,0.44296419650296615,-1.418262558978593,1.0,99354.09177766666,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-01-14 15:30:00+00:00,2010-01-14 17:00:00+00:00,6,long,1.44815,1.4456653571428573,1.4456653571428573,1.4518769642857143,0.002484642857142862,SL,399872.72815504693,-1021.5320087475407,19.993636407752348,0.0009099999999999664,-0.003370000000000095,0.36624982032483844,-1.3563317521920726,1.0,98332.55976891912,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-01-19 11:00:00+00:00,2010-01-19 11:00:00+00:00,0,long,1.43488,1.4328571428571428,1.4328571428571428,1.4379142857142857,0.0020228571428571197,SL,486107.28699324984,-1017.3531077787749,24.305364349662494,0.000140000000000029,-0.0027399999999999647,0.06920903954803773,-1.3545197740112975,1.0,97315.20666114034,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-02 08:45:00+00:00,2010-02-02 09:30:00+00:00,3,short,1.39468,1.391452857142857,1.3968314285714285,1.391452857142857,0.002151428571428558,TP,452328.31781406817,1428.0651176700774,22.616415890703408,0.003549999999999942,-0.000220000000000109,1.6500664010624004,-0.10225763612222925,0.11066398390343844,98743.27177881042,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-02 19:30:00+00:00,2010-02-03 03:30:00+00:00,32,short,1.39731,1.3946775000000002,1.399065,1.3946775000000002,0.0017549999999999354,TP,562639.7252354077,1441.7642959155546,28.131986261770386,0.0027200000000000557,-0.00025999999999992696,1.5498575498576386,-0.14814814814811197,0.05790441176484131,100185.03607472597,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-03 08:30:00+00:00,2010-02-03 09:30:00+00:00,4,short,1.39784,1.3989285714285715,1.3989285714285715,1.3962071428571428,0.0010885714285714465,SL,920334.9770643966,-1066.273809141983,46.01674885321983,0.0005599999999998939,-0.0012099999999999334,0.5144356955379518,-1.1115485564303667,1.0,99118.76226558398,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-03 15:00:00+00:00,2010-02-03 16:15:00+00:00,5,long,1.39414,1.3923164285714285,1.3923164285714285,1.3968753571428572,0.001823571428571456,SL,543541.978738016,-1029.235561167585,27.177098936900798,0.0015300000000000313,-0.0022899999999999032,0.8390129259694522,-1.2557775166470098,1.0,98089.52670441639,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
2010-02-16 05:45:00+00:00,2010-02-16 06:30:00+00:00,3,short,1.3641,1.3651167857142859,1.3651167857142859,1.3625748214285716,0.001016785714285714,SL,964702.0539949631,-1048.4244108239836,48.235102699748154,0.0005100000000000104,-0.0011299999999998533,0.5015806111696627,-1.1113452757286935,1.0,97041.10229359241,1,"[{""max_rr"": 10.0, ""min_rr"": 1.0, ""atr_dist_for_liq_generation"": 0.4, ""liq_move_away_atr"": 1.0}]","{""atr_period"": 14, ""rr"": 1.5, ""sldist_atr_mult"": 1.5}"
