iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",78,118593.70700079156,18.59370700079157,-8.182745648492562,50.0,1.4748106971991495,0.22666666666663246,238.3808589845075,True
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",77,119819.86360501625,19.81986360501624,-8.182745648492562,50.649350649350644,1.5173007873307702,0.2429004329003984,257.4008260391723,True
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",76,118076.27067471962,18.07627067471962,-8.583353606226273,50.0,1.4694497049532516,0.22666666666663254,237.84566677262688,True
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",76,121058.69761056433,21.058697610564337,-8.583353606226273,51.31578947368421,1.5620691128221007,0.2595614035087371,277.0881264547944,True
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",71,121245.36372651697,21.245363726516974,-7.638184359505185,52.112676056338024,1.6138296343366179,0.2794835680750821,299.2304750213662,True
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",70,119481.0272245019,19.48102722450189,-7.638184359505185,51.42857142857142,1.565140391050352,0.2623809523809175,278.30038892145615,True
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",65,116717.16271920329,16.717162719203294,-6.68324287829305,50.76923076923077,1.5174493407853136,0.24589743589740126,257.1871187569737,True
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",62,111695.61992460254,11.695619924602529,-8.60617124404156,48.38709677419355,1.3704165988013988,0.18634408602147207,188.63903104197686,True
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",60,108468.53060877527,8.46853060877526,-10.857768378587018,46.666666666666664,1.2733959491573745,0.14333333333330095,141.14217681292124,True
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",59,112358.07831752645,12.358078317526445,-9.004931753119983,49.152542372881356,1.419135579302914,0.20548022598866683,209.4589545343467,True
11,11,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",59,109590.00162540865,9.59000162540866,-9.936114618179726,47.45762711864407,1.3178050294091876,0.16310734463273555,162.54240043065477,True
12,12,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",55,111379.75794282532,11.37975794282533,-9.40195242980748,49.09090909090909,1.4134206168339796,0.20393939393936023,206.90468986955162,True
13,13,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",55,114193.04115628025,14.19304115628024,-8.465246788610925,50.90909090909091,1.5243218314696905,0.2493939393939047,258.05529375055033,True
14,14,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",55,103348.9721009574,3.3489721009573925,-11.246704941871366,43.63636363636363,1.1092410906758126,0.06757575757572677,60.89040183558907,True
15,15,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",53,105497.09827224597,5.497098272245982,-10.329072449942434,45.28301886792453,1.189648327548941,0.10874213836474818,103.71883532539582,True
16,16,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",51,107689.87361569342,7.689873615693421,-8.465246788610914,47.05882352941176,1.2816351424025947,0.15313725490192812,150.78183560183143,True
17,17,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",51,107689.87361569345,7.689873615693443,-7.5188564193017555,47.05882352941176,1.2801416757540902,0.15313725490192817,150.7818356018315,True
