iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 1},81,152566.94223688403,52.56694223688403,-2.9731127140004476,65.4320987654321,3.3440907439756797,0.5346913580245608,648.974595517086,True
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 2},81,148491.16503892548,48.49116503892547,-8.121771058634552,54.32098765432099,2.358080822816314,0.5082716049381543,598.6563585052528,True
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 3},81,169168.26366046094,69.16826366046094,-10.914018904661438,58.0246913580247,2.8246281531512025,0.6735802469134383,853.9291809933444,True
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 4},81,175363.73861118554,75.36373861118555,-7.965669639088668,56.79012345679012,2.890021516208971,0.7224691358023405,930.4165260640194,True
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.0}]",{'hold_bars': 5},81,160829.30442202563,60.82930442202563,-16.096994728389923,66.66666666666666,2.36170528879498,0.6186419753085158,750.9790669385881,True
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 1},77,157940.05441958213,57.94005441958212,-2.9731127140004476,67.53246753246754,3.843998708686534,0.607402597402469,752.468239215352,True
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 2},77,146668.1352343618,46.6681352343618,-8.551578639030987,54.54545454545454,2.2771054572486245,0.5185714285713096,606.0796783683357,True
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 3},77,178785.0724754332,78.78507247543321,-8.855321475039545,61.038961038961034,3.1509412486639956,0.7814285714284355,1023.182759421211,True
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 4},77,183142.53026834145,83.14253026834145,-8.24094679869245,58.44155844155844,3.0363729898620737,0.8180519480518241,1079.7731203680703,True
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]",{'hold_bars': 5},77,163380.09860607024,63.380098606070234,-14.577477543299121,64.93506493506493,2.3483626203336283,0.6724675324674153,823.1181637151988,True
