iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
1,1,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",201,72515.9255009604,-27.4840744990396,-35.773649125975226,34.82587064676617,0.7408915073210529,-0.15268656716420517,False
2,2,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",185,68297.98526478304,-31.702014735216956,-34.90933466639429,32.972972972972975,0.6867670178664422,-0.1990090090090341,False
3,3,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",161,66443.58601454987,-33.55641398545013,-33.84631406453429,31.05590062111801,0.64074763921273,-0.24693581780540708,False
4,4,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",141,70274.27535126386,-29.72572464873614,-30.748340816019535,31.20567375886525,0.6530913283956362,-0.24319148936172627,False
5,5,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",121,72494.7103387795,-27.505289661220488,-27.505289661220488,30.57851239669421,0.6264952674456441,-0.25887052341600175,False
6,6,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",104,80121.34111505473,-19.878658884945267,-19.878658884945267,32.69230769230769,0.6861227541551014,-0.20602564102566595,False
7,7,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",95,90112.7342432813,-9.8872657567187,-11.246704941871355,36.84210526315789,0.8274422186900362,-0.1022807017544131,False
8,8,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",86,87261.74800253031,-12.738251997469696,-12.738251997469696,34.883720930232556,0.7637863300574103,-0.1512403100775455,False
9,9,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",80,95161.29344875047,-4.838706551249528,-7.23343446114495,38.75,0.9018270637788196,-0.05458333333336154,False
10,10,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.4, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",70,95454.98707823269,-4.545012921767311,-6.2743082152139635,38.57142857142858,0.8951100368322704,-0.059047619047647174,False
11,11,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",188,96273.5317859773,-3.7264682140226935,-22.371456123988708,40.42553191489361,0.9644930255360189,-0.012695035461021981,False
12,12,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",182,95018.86852709284,-4.981131472907164,-19.587792297512905,40.10989010989011,0.9514004973902683,-0.020586080586109494,False
13,13,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",166,94069.98868579481,-5.930011314205186,-18.022322751402864,39.75903614457831,0.938081431192067,-0.02935742971890418,False
14,14,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",148,92724.24642231505,-7.275753577684951,-17.64252197838352,39.189189189189186,0.9161237974018985,-0.043603603603632045,False
15,15,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",132,94116.96610003151,-5.883033899968493,-16.40551132935222,39.39393939393939,0.9232333333981557,-0.03848484848487704,False
16,16,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",120,93995.52746651038,-6.004472533489624,-16.363765253084306,39.166666666666664,0.9129351746167192,-0.04416666666669505,False
17,17,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",107,102214.7908165768,2.214790816576806,-10.698025952375744,42.05607476635514,1.0357807683099358,0.028068535825515224,False
18,18,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 0.6, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",98,94163.96697422068,-5.83603302577933,-14.604056852764568,38.775510204081634,0.9001385183403481,-0.053945578231320686,False
