iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,davey_return_worse,davey_maxdd_worse,davey_both_worse,favourable
1,1,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 1}",83,111100.49412289321,11.100494122893224,-12.55745292897904,51.80722891566265,1.1731247961372269,0.13374089304690684,133.74089304690685,True,True,True,True
2,2,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 2}",86,114925.52966580779,14.92552966580778,-13.87000048035233,48.837209302325576,1.1912229014264106,0.1735526705326487,173.55267053264876,True,True,True,True
3,3,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 3}",84,106609.3229141228,6.609322914122795,-18.02455748819096,50.0,1.075880296594996,0.07868241564431974,78.68241564431975,True,True,True,True
4,4,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 4}",86,109707.5029898937,9.707502989893712,-14.61294685633362,55.81395348837209,1.1178218222966296,0.11287794174295065,112.87794174295054,True,True,True,True
5,5,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 5}",86,111794.37496121728,11.79437496121729,-22.264308434687596,53.48837209302325,1.151332216679242,0.1371438948978742,137.14389489787422,True,True,True,True
6,6,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 6}",85,96829.68896669247,-3.170311033307527,-16.93990502262742,54.11764705882353,0.9626067607805843,-0.03729777686244209,-37.2977768624421,True,True,True,True
7,7,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 7}",83,114774.1358335524,14.774135833552403,-16.32766691223261,46.98795180722892,1.1752350537798228,0.1780016365488236,178.00163654882363,True,True,True,True
8,8,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 8}",82,109241.37945332425,9.241379453324239,-17.008952442642823,51.21951219512195,1.1200530839246108,0.11269974943078338,112.69974943078341,True,True,True,True
9,9,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 9}",83,128338.67104837223,28.33867104837222,-18.611969200231606,53.01204819277109,1.3374292370579521,0.341429771667136,341.4297716671359,True,True,True,True
10,10,"[{'atr_dist_for_liq_generation': 1.5, 'liq_move_away_atr': 1.75, 'max_rr': 10.0, 'min_rr': 1.0}]","{'avg_hold_bars': 75.28571428571429, 'use_structural_stop_sizing': True, 'seed': 10}",82,123893.1976597639,23.8931976597639,-11.690339213440614,58.536585365853654,1.3168724321832928,0.2913804592654144,291.38045926541434,True,True,True,True
